,d,data,m,m_1,m_x
0,2,"[0.037967379240408071, 0.037903508886649173, 0.64144937264562751, 0.64144937264562751, 1.3608902904978695e-15, 1.7677164180852906e-16, 0.64144937264562751, 0.64144937264562751, 0.038035849367206866, 0.82236719295601868, 0.0061055485104445223, 0.8578754993507639]",2,1,10000
1,12,"[0.0086436290431462399, 0.0059191917765181439, 0.026610043118272801, 0.026610043118272801, 1.1448726877918009e-15, 1.0667096623727376e-15, 0.026610043118272801, 0.026610043118272801, 0.0059196162125034462, 0.026622744408073509, 0.0047908970482631527, 0.037330520243785525]",2,1,10000
2,22,"[0.078606507179541554, 0.051492870759236406, 0.1846269349561738, 0.1846269349561738, 1.1981282106586732e-15, 1.0074490564385417e-15, 0.1846269349561738, 0.1846269349561738, 0.05179301510951359, 0.19031709636246505, 0.10966344030086315, 0.13273159351442734]",2,1,10000
3,2,"[0.048055382080359733, 0.046665467275521851, 0.59810485798374979, 0.59810485798374979, 5.0876810486276012e-16, 3.1888728582940721e-16, 0.59810485798374979, 0.59810485798374979, 0.048189926266488776, 0.73196352290550026, 0.086322780784636371, 0.84362621563796414]",2,1,10000
4,12,"[0.067580961882631185, 0.038765810662928508, 0.14536572335534004, 0.14536572335534004, 8.6312334806383912e-16, 5.6731624350779564e-16, 0.14536572335534004, 0.14536572335534004, 0.038920636302087676, 0.14818479112123326, 0.033167482147685175, 0.21966041734943745]",2,1,10000
5,22,"[0.062179610033851591, 0.059835357489460832, 0.55286998220945194, 0.55286998220945194, 5.296979866800761e-16, 4.1396133834071917e-16, 0.55286998220945194, 0.55286998220945194, 0.060117989590515022, 0.66016021103970735, 0.097971594506834916, 0.79563693614721775]",2,1,10000
6,4,"[0.37941419681361899, 0.16461283362862861, 0.5110793916758184, 0.5110793916758184, 0.001063575292692222, 0.00062543484758654925, 0.5110793916758184, 0.5110793916758184, 0.22154403089402788, 1.0776821224527862, 0.0015271397611667857, 1.2223328780936287]",4,1,10000
7,14,"[0.080661121178723413, 0.039593885791861717, 0.49694259461120172, 0.49694259461120172, 0.00038242504344102903, 0.00016638735751545278, 0.49694259461120172, 0.49694259461120172, 0.039943563898419528, 0.5458157121059275, 0.029674844389806634, 0.55540003255572667]",4,1,10000
8,24,"[0.99999968786986149, 4.1297416367895892e-05, 2.4214672159797601e-05, 2.4214672159797601e-05, 0.0017957588747374944, 2.282733462697785e-05, 2.4214672159797601e-05, 2.4214672159797601e-05, 0.32067526266443164, 0.26652933128583878, 0.32067532335177246, 0.26652926946279942]",4,1,10000
9,2,"[0.01960639508895182, 0.0084734770851341585, 0.25264637854949645, 0.2415134605456786, 5.985173094038516e-16, 2.8066088919804617e-16, 0.25264637854949645, 0.2415134605456786, 0.008474554198228422, 0.25655246749157345, 0.016144341242721374, 0.24900590972939851]",2,2,10000
