,d,error_A_m,error_A_m_1,error_V_m,error_V_m_1,m,m_1,m_x,max_dist_A_m,max_dist_A_m_1,max_dist_V_m,max_dist_V_m_1,min_dist_A_m,min_dist_A_m_1,min_dist_V_m,min_dist_V_m_1
0,2,0.046687803094528614,0.0885456056572955,0.7356314579714196,0.8476457605809536,2,1,10000,0.04905583181577961,8.946772210462837e-16,0.5995278184919242,0.5995278184919242,0.0465527955793128,1.2378683338720214e-16,0.5995278184919242,0.5995278184919242
1,12,0.18655040112383797,0.2611928438930215,0.6097482229973241,0.5406926200117418,2,1,10000,0.2294479984549018,6.202294212264353e-16,0.42750350712025476,0.42750350712025476,0.1760882465138406,5.348997858486212e-16,0.42750350712025476,0.42750350712025476
2,22,0.025457509926900285,0.008552810210664013,0.06090892514417467,0.09486822325336262,2,1,10000,0.044634266384708604,1.1828477306431093e-15,0.060572996564815865,0.060572996564815865,0.025413560575957853,6.908114864235888e-16,0.060572996564815865,0.060572996564815865
3,2,0.008145275354816121,0.01030488200847044,0.12444135602902445,0.14280897053050734,2,1,10000,0.011326791453697714,4.996003610813204e-16,0.12378439527597176,0.12378439527597176,0.00814424201709596,9.614813431917819e-17,0.12378439527597176,0.12378439527597176
4,12,0.05052457443356228,0.10466591875137421,0.49015320428194425,0.4389401521226826,2,1,10000,0.05085189223986717,1.3903675427321176e-15,0.44525234988635237,0.44525234988635237,0.05036221158835223,4.495978165499658e-16,0.44525234988635237,0.44525234988635237
5,22,0.051260739839248275,0.14797552486466586,0.11946061529146178,0.022627266720956756,2,1,10000,0.11002743267720007,7.736929128081389e-16,0.11633731528193471,0.11633731528193471,0.050771707866128064,6.761999742081096e-16,0.11633731528193471,0.11633731528193471
6,4,0.05082683062890202,0.0029626225391133016,0.9595442096210477,1.0024240480573612,4,1,10000,0.0635341259283621,0.0017831250559671142,0.7432428014051339,0.7432428014051339,0.05060324974151684,0.0013489772643316452,0.7432428014051339,0.7432428014051339
7,14,0.15211295293752922,0.15228140190462555,0.5536728545538295,0.5535172862842791,4,1,10000,0.9999451846156101,0.0006487561462164221,0.0003972564744598133,0.0003972564744598133,0.0008639814683081899,9.376041639962166e-05,0.0003972564744598133,0.0003972564744598133
8,24,0.3435069795970124,0.34248757162943855,0.027904154980779097,0.028798529784868628,4,1,10000,0.9995857490214889,0.0002999062912633996,0.0029724269293547926,0.0029724269293547926,0.00014281778224718974,3.0185826643409035e-05,0.0029724269293547926,0.0029724269293547926
9,2,0.03755936702451995,0.04093085603448852,0.99586041126473,0.99346279685451,2,2,10000,0.8110824506319224,5.606351459942525e-16,0.825853033608822,0.825853033608822,0.022533563183840352,3.188872858294072e-16,0.03730414616073983,0.03730414616073983
10,12,0.050599945909714235,0.11264779205554783,0.8967248211530607,0.9438616540974545,2,2,10000,0.927330939544176,8.874289028067459e-16,0.8342249669541717,0.8342249669541717,0.02000922985665184,7.966210268139048e-16,0.07309674273335288,0.07309674273335288
11,22,0.33849023637174547,0.6115728631050502,0.44739056031503116,0.16295607076741475,2,2,10000,0.9958628763966949,6.486235696115511e-16,0.7601224680459078,0.7601224680459078,0.02703631392191913,5.578957391468574e-16,0.20870409442886806,0.20870409442886806
12,4,0.033049183288262424,0.18062081617122303,1.0128917996187687,0.9254439774033304,4,2,10000,0.8585142544471359,0.09811065993686324,0.6937393211593822,0.6937393211593822,0.02695612920521909,0.01944273502345345,0.30827513299569,0.30827513299569
13,14,0.013699270294113488,0.09345766750439617,0.563002314379945,0.6369138152289748,4,2,10000,0.977165746314445,0.06731570463438176,0.6393797079794684,0.6393797079794684,0.01369607393369909,0.011112383104051219,0.09460909253631099,0.09460909253631099
14,24,0.021746083851023383,0.3497065204580636,0.6887202975152081,0.41525065619341844,4,2,10000,0.999976877112715,0.016500412649538578,0.34870049729622,0.34870049729622,0.014937669454675577,0.010174053609568554,0.29392223481016605,0.29392223481016605
15,8,0.027106037299666447,0.024308881134756037,0.6834004896712333,0.725616001018475,8,2,10000,0.9999798623944887,0.04498962009323153,0.6149083966752121,0.6149083966752121,0.018892336607669192,0.008372231564824325,0.35698535951126414,0.35698535951126414
