,d,error_A_m,error_A_m_1,error_V_m,error_V_m_1,m,m_1,m_x,max_dist_A_m,max_dist_A_m_1,max_dist_V_m,max_dist_V_m_1,min_dist_A_m,min_dist_A_m_1,min_dist_V_m,min_dist_V_m_1
0,20,1.2367645404735854,1.2367639260911254,0.0008542469713557582,0.00027841711084476434,20,1,8000,0.9756408786859093,0.005062731778262249,0.0008455609275769267,0.0008455609275769267,0.00031329329863102336,0.00021902662425852209,0.0008455609275769267,0.0008455609275769267
1,22,0.0006122314828374682,0.0005947891837275643,1.3012777916719156,1.301278365288802,20,1,8000,0.9995113432223933,0.0017799663828570393,0.0033567616601424873,0.0033567616601424873,0.0002881587205396038,0.0002491380076362863,0.0033567616601424873,0.0033567616601424873
2,24,0.000755861216141239,0.000736538096551292,1.2158243935085185,1.2158242099060526,20,1,8000,0.9999797732971771,0.0024686607679101683,0.0006607229165198115,0.0006607229165198115,0.00023835064143717905,0.0002043836470585121,0.0006607229165198115,0.0006607229165198115
3,26,1.099089498922599,1.0990835764871045,0.0002486168885944357,0.0002305276744162398,20,1,8000,0.9999853715764048,0.06130768970211531,0.00020029159637026387,0.00020029159637026387,0.00023218625991871082,0.00020946351308741837,0.00020029159637026387,0.00020029159637026387
4,28,1.2544428597747546,1.2544446027587044,0.0002517355002059812,0.00024186510918541097,20,1,8000,0.9998358548174183,0.06871189737987866,0.00021961385079887955,0.00021961385079887955,0.0003123764272467412,0.00031140389118803057,0.00021961385079887955,0.00021961385079887955
5,30,0.0008646482303672957,0.0006397735280701484,1.2245587813126988,1.224558568622914,20,1,8000,0.9999947686041424,0.002422056289919922,0.0005228623578682222,0.0005228623578682222,0.00024991466900370287,0.00016939643758737182,0.0005228623578682222,0.0005228623578682222
6,32,1.2395574368340423,1.2395565599336713,0.000257731276207387,0.00015286283078439817,20,1,8000,0.9990141690969875,0.0027694698228775253,0.00024509391665232527,0.00024509391665232527,0.0009737051310224272,0.00032636844107707076,0.00024509391665232527,0.00024509391665232527
7,34,1.2730253733607526,1.273025050899944,0.0001979334824604456,0.00015035206557035795,20,1,8000,0.999527818854894,0.011298519262190642,0.00018541691194451588,0.00018541691194451588,0.0002530917330784071,0.0002327615412082159,0.00018541691194451588,0.00018541691194451588
8,36,1.2859192254378444,1.2859194451300968,0.00020857613710645987,0.00016361738299546953,20,1,8000,0.9998134683275913,0.006738082808213476,0.00019294428560257887,0.00019294428560257887,0.0002200871532094382,0.00018666232384670722,0.00019294428560257887,0.00019294428560257887
9,38,0.0005156189388596861,0.0004942135943312794,1.2101083047825905,1.210108594761836,20,1,8000,0.9999697327385044,0.004203556754382272,0.0004920547206794157,0.0004920547206794157,0.00016217463311817202,0.00013679599804649099,0.0004920547206794157,0.0004920547206794157
10,40,0.0008728343674625662,0.0005432553826202463,1.193212080798365,1.1932112293480324,20,1,8000,0.9997961686886635,0.0009936060190527643,0.0011648702536305206,0.0011648702536305206,0.00023261685263475061,0.0001647135510044401,0.0011648702536305206,0.0011648702536305206
11,30,0.0006028083095661917,0.0005872833961104548,1.2269161968242959,1.2269163833193635,30,1,8000,0.9995066532886282,0.006782235605414023,0.00017015424726355108,0.00017015424726355108,0.00020943419195467464,0.00017095729314462902,0.00017015424726355108,0.00017015424726355108
