,d,data,m,m_1,m_x
0,2,"[0.2081426239762191, 0.19349596138315256, 0.3402236788797896, 0.3402236788797896, 2.118352371637509e-16, 4.163336342344337e-17, 0.3402236788797896, 0.3402236788797896, 0.20427839844832474, 0.43362313996359725, 0.53647818549209769, 0.095387775347333309]",2,1,10000
1,12,"[0.064076622078399398, 0.057971665097217802, 0.068150725891294936, 0.068150725891294936, 1.998711672532362e-15, 8.7138267134245912e-16, 0.068150725891294936, 0.068150725891294936, 0.064371206628823271, 0.069039423137450956, 0.052803787385511024, 0.080600567388878608]",2,1,10000
2,22,"[0.30794789935739469, 0.30692986269059791, 0.32915732663110014, 0.32915732663110014, 9.5243609091187022e-16, 6.5842172765417226e-16, 0.32915732663110014, 0.32915732663110014, 0.35307125874793527, 0.70471694843545918, 0.48518118177147856, 0.58154795404735926]",2,1,10000
3,2,"[0.2342777239988581, 0.22285854198910759, 0.38387045058011571, 0.38387045058011571, 4.8434523254442977e-16, 4.322351694016977e-16, 0.38387045058011571, 0.38387045058011571, 0.23930640291319297, 0.55562623145656842, 0.078290787446868432, 0.70074737655037522]",2,1,10000
4,12,"[0.11967413671555617, 0.10812888830781675, 0.12722954469242509, 0.12722954469242509, 8.4269995889497161e-16, 5.3144554014829471e-16, 0.12722954469242509, 0.12722954469242509, 0.12162587358193275, 0.13333884622985284, 0.16576985352747073, 0.089102619262673724]",2,1,10000
5,22,"[0.19563662133098084, 0.18226362397868867, 0.202285603109051, 0.202285603109051, 1.7695596098027881e-15, 9.3604173742755477e-16, 0.202285603109051, 0.202285603109051, 0.20489952904945941, 0.2327115439234706, 0.33414504316062932, 0.10197456710787997]",2,1,10000
6,4,"[0.31822267701096935, 0.28563875530533128, 0.35142292903363409, 0.35142292903363409, 0.31503209780036456, 0.28346860929978696, 0.35142292903363409, 0.35142292903363409, 0.35336467850736941, 0.69466151532338472, 0.36729313901205929, 0.71825618153331761]",4,1,10000
7,14,"[0.32328653123468731, 0.31735236017029789, 0.33548722396611219, 0.33548722396611219, 0.31960110999063707, 0.30738773311002149, 0.33548722396611219, 0.33548722396611219, 0.39055628363750466, 0.78881261831676419, 1.0771936054287736, 0.79320460241767121]",4,1,10000
8,24,"[0.27847494774644033, 0.26682314116121703, 0.28076415988495196, 0.28076415988495196, 0.21473718000125347, 0.20634587809899355, 0.28076415988495196, 0.28076415988495196, 0.32962416851209608, 0.42469544897533335, 0.24957530302226386, 0.52927714747485477]",4,1,10000
9,2,"[0.024413596888132098, 0.022787756898859354, 0.045138121059719781, 0.043512281070447016, 8.9013164754904075e-16, 2.264462072310114e-16, 0.045138121059719781, 0.043512281070447016, 0.02441678397513878, 0.043534511396235522, 0.78239762074681607, 0.72490448985852485]",2,2,10000
10,12,"[0.93901840378677415, 0.28554097378002036, 0.39880568528961624, 0.25467174471713744, 1.6316024742017744e-15, 7.2878119640041227e-16, 0.39880568528961624, 0.25467174471713744, 0.55395059735174301, 0.46043677402646116, 0.4077708793541695, 0.60443327922835466]",2,2,10000
11,22,"[0.91680310821897959, 0.29514435529674271, 0.40740060791697541, 0.21425814500526161, 2.0192649917387795e-15, 6.7172021874389585e-16, 0.40740060791697541, 0.21425814500526161, 0.89120001246476388, 0.25232103343535167, 0.60248451996167129, 0.57803536151752632]",2,2,10000
12,4,"[0.92215297270251795, 0.10140362299157474, 0.18247780267143401, 0.14857109023013498, 0.55629415968841034, 0.093962508237350598, 0.18247780267143401, 0.14857109023013498, 0.39691682398059658, 0.59434538986324714, 0.38510071564730497, 0.60560906763785494]",4,2,10000
13,14,"[0.71817042071551407, 0.18682544509982693, 0.32110981284034512, 0.22492755181879798, 0.35915735526284664, 0.099231284878633211, 0.32110981284034512, 0.22492755181879798, 0.23421297308816544, 0.65466997929223458, 0.32172218326452534, 0.56490470618508237]",4,2,10000
14,24,"[0.81191156759816618, 0.16420083429284127, 0.24349024110388062, 0.16710081268849444, 0.50256199485462205, 0.077671036447555408, 0.24349024110388062, 0.16710081268849444, 0.24475229909525917, 0.26959304381862709, 0.23048685138886255, 0.28508144145723935]",4,2,10000
15,8,"[0.52606761821590697, 0.22063719732718567, 0.33504315612881452, 0.27639854898541272, 0.34574304092673236, 0.18968198592361366, 0.33504315612881452, 0.27639854898541272, 0.22478564062323139, 1.2334750908238052, 0.25828130956311107, 1.2024612729738811]",8,2,10000
16,18,"[0.99545015142976911, 0.19818951864345269, 0.24044293407966821, 0.20817590522550139, 0.98137712027669555, 0.19457411760711513, 0.24044293407966821, 0.20817590522550139, 1.1128965376948805, 0.21476646430238447, 1.0722034107281813, 0.60354242929333857]",8,2,10000
17,28,"[0.51524040012935857, 0.2159907222640515, 0.33075439464057788, 0.27291212990926672, 0.27000297292446263, 0.19652965510385831, 0.33075439464057788, 0.27291212990926672, 0.63283492782487372, 0.46944138419655018, 0.47315129725954908, 0.66295942642435424]",8,2,10000
18,4,"[0.94985003043774552, 0.24599638796090842, 0.66206350197799224, 0.42077653044215579, 0.068536948620781954, 0.0096765544948457828, 0.66206350197799224, 0.42077653044215579, 0.30071722713084503, 0.76229927862875446, 0.23001673667650091, 0.99649541733541758]",4,4,10000
19,14,"[0.76904066812544725, 0.21668836517249601, 0.42130396292855382, 0.09027992584360689, 0.1076774057803337, 0.011555407092797353, 0.42130396292855382, 0.09027992584360689, 0.24636086114288241, 0.4363765509538764, 0.37259043110356271, 0.33697432465150812]",4,4,10000
20,24,"[0.94568088202556255, 0.28156542662556383, 0.5789049784974255, 0.061361849135212136, 0.1061902479746108, 0.015942155071890358, 0.5789049784974255, 0.061361849135212136, 0.39586605273494868, 0.49951261594872443, 0.52699175152593303, 0.43939879701331042]",4,4,10000
21,8,"[0.8252143488174235, 0.1747610297513513, 0.42162825125803599, 0.25262821661560114, 0.51477625677251315, 0.1375462788205721, 0.42162825125803599, 0.25262821661560114, 0.19776477305297757, 0.94651780933588314, 0.37843745906290677, 0.77253625367881285]",8,4,10000
22,18,"[0.91752685001461631, 0.2202089678069008, 0.41494777004981692, 0.20609492669118246, 0.35916869309442906, 0.12375942503992246, 0.41494777004981692, 0.20609492669118246, 0.25876128486785083, 1.1325783424158018, 0.1314287767631056, 1.2388287644726799]",8,4,10000
23,28,"[0.77019608324550315, 0.18526134115741022, 0.35897048626477435, 0.21775462103434076, 0.40899780023946747, 0.11663211424451066, 0.35897048626477435, 0.21775462103434076, 0.2172833160549531, 0.878017770630654, 0.21591949507144834, 0.85531285998032536]",8,4,10000
24,16,"[0.90198712359146471, 0.16690394481851786, 0.29800531139273179, 0.17203596955765052, 0.45394774033307972, 0.12816426749256951, 0.29800531139273179, 0.17203596955765052, 0.20604883438340957, 1.2439140372686315, 0.13401956449993946, 1.2489161408804703]",16,4,10000
25,26,"[0.99884869707114587, 0.14281609532673084, 0.19976905170676004, 0.14841819390021502, 0.99431007681745609, 0.12132535890288575, 0.19976905170676004, 0.14841819390021502, 0.17314598097714431, 1.1959950321308714, 0.14445583714048427, 1.2092500029322131]",16,4,10000
26,36,"[0.94856757135657177, 0.16718674447870727, 0.23950395504732105, 0.19242427452756911, 0.43920920950782599, 0.12987649660466882, 0.23950395504732105, 0.19242427452756911, 0.7397842334739837, 0.31069004024131314, 0.50681700116241024, 0.55180978834237748]",16,4,10000
27,8,"[0.96531949251231863, 0.32652254765600341, 0.74571796272417457, 0.43539810803252443, 0.16086448171819437, 0.040341601880201722, 0.74571796272417457, 0.43539810803252443, 0.36287877210648423, 0.64758123704657489, 0.095389074210626618, 0.85202135895574016]",8,8,10000
28,18,"[0.92568764105430279, 0.29781937576260031, 0.68710936352501684, 0.42698715690940625, 0.19210615496066205, 0.037340710607021037, 0.68710936352501684, 0.42698715690940625, 0.31145147363073566, 0.9461722340018891, 0.049365108047470255, 1.1025261344117756]",8,8,10000
29,28,"[0.90489654048808832, 0.25948792695667305, 0.65673572007683567, 0.31400215398470233, 0.13209443688915917, 0.022922058241734274, 0.65673572007683567, 0.31400215398470233, 0.32249481509761174, 0.77933667902996417, 0.029500219019628987, 1.028277893003557]",8,8,10000
30,16,"[0.9734934462060193, 0.15694819788312012, 0.3843468500106888, 0.17271193184266714, 0.84323696261328851, 0.088117576819115612, 0.3843468500106888, 0.17271193184266714, 0.27373780237763695, 1.1172666903101685, 0.12896076571934267, 1.1994881997495945]",16,8,10000
31,26,"[0.9941084332600697, 0.22404235254315089, 0.51466731258722087, 0.2091004920862303, 0.96078494927789215, 0.086364598498049228, 0.51466731258722087, 0.2091004920862303, 0.46511916706454831, 0.96618121482707264, 0.1074393365779527, 1.158169727914073]",16,8,10000
32,36,"[0.97447285960807262, 0.17556760164921667, 0.41756553738752167, 0.18913344146786795, 0.35406131181855055, 0.090465669741263868, 0.41756553738752167, 0.18913344146786795, 1.0104921974638015, 0.43792981900764905, 1.0363057330673608, 0.24514540405995336]",16,8,10000
33,32,"[0.95874075629445332, 0.13163625990644462, 0.31768660486403494, 0.15312200500765752, 0.55374159805349032, 0.075510926296230949, 0.31768660486403494, 0.15312200500765752, 1.175255633886223, 0.27926114188508966, 1.2791269375229044, 0.12943299839859154]",32,8,10000
34,42,"[0.98400842299979041, 0.11783686664332226, 0.20573563025259378, 0.15668206787682459, 0.58562943101600506, 0.086457278759033931, 0.20573563025259378, 0.15668206787682459, 1.255364080976261, 0.19929099973934897, 1.2889750917234455, 0.1091627434420398]",32,8,10000
35,52,"[0.99746542324453491, 0.12431717205070761, 0.28813327640659453, 0.21085264956103053, 0.96388115009108921, 0.07610365469784397, 0.28813327640659453, 0.21085264956103053, 1.1319693194545228, 0.21786177188080641, 1.2719409556100154, 0.17007610996114803]",32,8,10000
36,16,"[0.96308378763824132, 0.35797838029956319, 0.67569691837479129, 0.42451210341595041, 0.214140897322915, 0.046142894352488383, 0.67569691837479129, 0.42451210341595041, 0.36713388259451779, 1.1003490866617385, 0.051151737949576573, 1.2340937883792504]",16,16,10000
37,26,"[0.96670545695794274, 0.31184543448858909, 0.64397327049189979, 0.44018253274521574, 0.23954534111863102, 0.029681334771711268, 0.64397327049189979, 0.44018253274521574, 0.31660208756902419, 1.2075337343890653, 0.031758131717409953, 1.3011240226304444]",16,16,10000
38,36,"[0.9622637638988224, 0.24178506275194805, 0.74010494992827791, 0.28592338434695264, 0.23545983913712865, 0.023227222446754372, 0.74010494992827791, 0.28592338434695264, 0.24957975362427479, 1.1100221170585807, 0.023625967399889973, 1.2374709269790245]",16,16,10000
39,32,"[0.97900535921636112, 0.1866578344831458, 0.56225116292144128, 0.31266946683353442, 0.34473615447474082, 0.071442556700328716, 0.56225116292144128, 0.31266946683353442, 0.21790423967776198, 1.2877486360266861, 0.072075456528821247, 1.3163054961978886]",32,16,10000
40,42,"[0.98846831271208746, 0.16364414671305083, 0.4186508286348451, 0.25925325696496071, 0.40500195462186067, 0.062423825198484204, 0.4186508286348451, 0.25925325696496071, 0.23712226879859399, 1.2714060257041244, 0.063248170671846779, 1.3231930288424851]",32,16,10000
41,52,"[0.97929919703535906, 0.20154964805808442, 0.52167189986652407, 0.35234822929861359, 0.3670068590589472, 0.069448205409767969, 0.52167189986652407, 0.35234822929861359, 0.43245742488668726, 1.1093066496021458, 0.084584450180255857, 1.2664827821694924]",32,16,10000
42,64,"[0.98311856064397363, 0.1030288212588545, 0.23778674394291133, 0.16250759254704616, 0.45334949323660512, 0.045023727527184552, 0.23778674394291133, 0.16250759254704616, 0.15212747840777979, 1.3127090402610353, 0.052827797763038968, 1.322931664324366]",64,16,10000
43,74,"[0.99186833016769527, 0.10006407484134359, 0.22329285722593728, 0.16064930504753228, 0.47559392805740874, 0.050740881647429181, 0.22329285722593728, 0.16064930504753228, 0.1295021868715879, 1.3213266697506352, 0.053954015730824936, 1.3361249182044612]",64,16,10000
44,84,"[0.99217627967988786, 0.10497313064325282, 0.26848161348505695, 0.1365892605089408, 0.95103830963465086, 0.044492338204879238, 0.26848161348505695, 0.1365892605089408, 1.258653865593597, 0.14215046096414835, 1.3157126448116867, 0.087019467086417002]",64,16,10000
