,d,error_A_m,error_A_m_1,error_V_m,error_V_m_1,m,m_1,m_x,max_dist_A_m,max_dist_A_m_1,max_dist_V_m,max_dist_V_m_1,min_dist_A_m,min_dist_A_m_1,min_dist_V_m,min_dist_V_m_1
0,2,0.19770607208906213,0.35978383501538835,0.4067971858271252,0.24594329809470486,2,1,10000,0.19756937552016324,3.5551252101777283e-16,0.32753907882012046,0.32753907882012046,0.18815376046651391,3.0517331120737817e-16,0.32753907882012046,0.32753907882012046
1,12,0.3340139718246644,0.7504373712961081,0.8572545319445068,0.45869205580274464,2,1,10000,0.29988180198794095,8.873851234724388e-16,0.33014051873118017,0.33014051873118017,0.294217243615013,6.935095541474247e-16,0.33014051873118017,0.33014051873118017
2,22,0.3443367752548488,0.7106023486511975,0.8271162198497475,0.47722644623162824,2,1,10000,0.30631508982545735,8.217247386861294e-16,0.32502908913290113,0.32502908913290113,0.3012787142207786,5.984956656154945e-16,0.32502908913290113,0.32502908913290113
3,2,0.012615913211566101,0.007839776326344725,0.02366883306381901,0.028444284085802667,2,1,10000,0.013407282075922565,4.644396126208125e-16,0.02365021649737726,0.02365021649737726,0.012613210481321272,4.3709524189038457e-16,0.02365021649737726,0.02365021649737726
4,12,0.3359572105905723,0.716415742766417,0.8378051704533988,0.4752079810087684,2,1,10000,0.30151776733093316,1.3717947658782677e-15,0.33195118905066673,0.33195118905066673,0.295492327411252,6.913703923089631e-16,0.33195118905066673,0.33195118905066673
5,22,0.32523795711930314,0.28766130068244883,0.4780727296803366,0.5141176482453033,2,1,10000,0.29021204663653694,1.1191474700231133e-15,0.3045371843853868,0.3045371843853868,0.2798019874263306,7.393992555556703e-16,0.3045371843853868,0.3045371843853868
6,4,0.3577359672241861,0.3577170087359452,0.7728419382005999,0.7728683984620982,4,1,10000,0.3266991726253311,0.32632392386291464,0.3564518081569382,0.3564518081569382,0.2937939808242279,0.2935854387390689,0.3564518081569382,0.3564518081569382
7,14,0.312548899750959,0.17506207544079863,0.4568204960784396,0.6175716766368348,4,1,10000,0.7026732623662671,0.2098335805787207,0.2212653646363572,0.2212653646363572,0.2020207086761042,0.13990198367714582,0.2212653646363572,0.2212653646363572
8,24,0.3875046716566668,0.40198276545215766,0.6319325429713222,0.6403994477389576,4,1,10000,0.32086157650614455,0.320657094533281,0.31595841405969816,0.31595841405969816,0.30298430564080125,0.3018485873702682,0.31595841405969816,0.31595841405969816
9,2,0.11786581207373335,0.3798032667611734,0.32566841572237004,0.784117426354773,2,2,10000,0.19109010432873144,8.989818423714095e-16,0.31998508399318937,0.31998508399318937,0.11661218970469636,1.1631705747361534e-16,0.24550716936915434,0.24550716936915434
10,12,0.3715137164529746,0.34573256339193814,0.49907742980371184,0.5239253089343621,2,2,10000,0.8038666129355174,1.360895818605916e-15,0.4604242997590296,0.4604242997590296,0.26468657675410107,3.407236828216134e-16,0.07875573642238673,0.07875573642238673
11,22,0.1449520950856824,0.5187480781081301,0.2224457885573884,0.8402496129851391,2,2,10000,0.2419427618210945,9.058425451100584e-16,0.22104842736751176,0.22104842736751176,0.14242747248731177,8.581958448023098e-16,0.12153313803372903,0.12153313803372903
12,4,0.4995965765722603,0.5448207593389887,0.6998136270491787,0.653835019823603,4,2,10000,0.9868750106999112,0.2863589439446399,0.16211774927641887,0.16211774927641887,0.12858418047967393,0.08830673810479958,0.1401454576217727,0.1401454576217727
13,14,0.2759869097025569,0.33768001762095023,0.9727845899149118,1.0979925463381406,4,2,10000,0.5611350703745681,0.3978550598302143,0.39777545965552547,0.39777545965552547,0.24728075260596244,0.18704619078555718,0.2694864465289345,0.2694864465289345
14,24,0.7573656613139172,0.5814187724549761,0.3600219738161741,0.577952977052821,4,2,10000,0.9907928447825984,0.5567950680942996,0.24903383076107805,0.24903383076107805,0.23372069129488912,0.16892069491194836,0.24849827461625582,0.24849827461625582
15,8,0.4303524260092413,0.39291382148822185,0.3957994207141718,0.4362368530369363,8,2,10000,0.7979426726248701,0.3488503321036812,0.2293141769355325,0.2293141769355325,0.17855848330624927,0.15786061943817253,0.22718737188686125,0.22718737188686125
16,18,1.068889861961504,1.082967217956882,0.21752590768499028,0.2300495923238926,8,2,10000,0.8722511308566916,0.44702985372568577,0.3149847930612932,0.3149847930612932,0.20907229511657116,0.16716669546769986,0.21208418573424764,0.21208418573424764
17,28,0.30475420895476457,0.18905415472275475,0.9647624526431609,1.1081406376045144,8,2,10000,0.741403284835966,0.4705633030645266,0.33299613175528364,0.33299613175528364,0.23826019477719115,0.17639162857560042,0.2215516748194752,0.2215516748194752
18,4,0.17213797437241163,0.2154412164730291,0.5309529962277795,0.4886472053490241,4,4,10000,0.7303838049519009,0.06658206697418378,0.5776416860375357,0.5776416860375357,0.16592146610525776,0.011927998978258234,0.15662882195909777,0.15662882195909777
19,14,1.1117983947869767,0.5293407136927524,0.3613046664033396,0.9946561089708493,4,4,10000,0.923757443867533,0.04390067380527504,0.3970315310268042,0.3970315310268042,0.22196016894066634,0.025538685464778017,0.11620644983544047,0.11620644983544047
20,24,0.3094175921634038,0.4314680280974855,0.4026281802759409,0.2837085444184457,4,4,10000,0.7449854451896478,0.03087662283534714,0.3799470804366061,0.3799470804366061,0.08181242651710988,0.011218515489008471,0.06737709066866204,0.06737709066866204
21,8,0.3764047821129057,0.29160728873134417,0.49146698009390477,0.5663769874256523,8,4,10000,0.7789078300020702,0.3070094680734015,0.4383380505595501,0.4383380505595501,0.232991444840777,0.14163916418210884,0.3599856808239728,0.3599856808239728
22,18,0.3071974870055543,0.24456142065442932,0.375637361108884,0.43845921277883815,8,4,10000,0.8758771958656245,0.4979625505039779,0.36622866430091394,0.36622866430091394,0.16361257548810998,0.11692246785173722,0.17564713622679232,0.17564713622679232
23,28,0.5230693383478141,0.09627992764259703,0.6548731888304236,1.0535884435924865,8,4,10000,0.9447593932332841,0.35289159457130737,0.46710624572358694,0.46710624572358694,0.2007442403397054,0.08962113307746755,0.21301552043248165,0.21301552043248165
24,16,1.1631996784525638,1.0971381156270665,0.1509674549914351,0.21184602849550768,16,4,10000,0.9913150770999474,0.9743543154396705,0.2153160708109558,0.2153160708109558,0.15398548063592798,0.12425395397369034,0.1405527844255562,0.1405527844255562
25,26,1.091886034981744,1.2675430721417797,0.26991664307689955,0.1781378220000182,16,4,10000,0.8947470844513526,0.48222699231385135,0.2600432342070334,0.2600432342070334,0.16080273156029481,0.13154074229806517,0.20034328049229652,0.20034328049229652
26,36,0.26099108456847164,0.25339301388436497,0.9644594423276686,0.9767233675514594,16,4,10000,0.9429272910743076,0.672903510201352,0.23829563317688895,0.23829563317688895,0.17506043646569197,0.12293637655576173,0.19987487413991142,0.19987487413991142
